"Logatec";648.70;688.09;739.76;815.12;872.77;907.71;930.81;940.37;939.82
"Loška dolina";661.93;693.33;757.79;799.78;796.41;836.57;844.59;828.85;817.28
"Loški Potok";671.38;727.94;776.33;853.25;836.64;892.68;935.17;936.79;884.82
"Luèe";575.55;595.21;630.28;676.93;732.25;800.87;851.48;843.28;850.44
"Lukovica";639.23;704.07;778.94;927.96;971.57;1029.02;1007.62;1002.25;1019.49
"Majšperk";633.83;529.65;604.46;644.46;748.18;747.05;796.53;789.13;780.68
"Maribor";727.61;764.21;813.09;871.09;909.07;945.16;964.64;969.07;966.40
"Medvode";699.56;729.18;789.48;842.29;885.27;929.43;927.07;928.29;938.00
"Mengeš";735.46;693.98;751.92;815.98;819.66;845.62;957.21;937.73;918.34
"Metlika";584.55;606.44;661.56;721.15;749.19;777.11;819.89;812.78;828.38
"Mežica";636.81;675.30;732.50;821.67;854.51;908.50;944.23;940.28;966.60
"Miren - Kostanjevica";643.05;703.94;763.48;823.22;823.17;864.91;885.76;902.98;924.33
"Mislinja";647.31;640.30;725.50;840.08;781.76;827.00;818.88;852.60;853.18
"Moravèe";726.43;793.50;878.70;913.21;856.43;899.70;922.43;903.47;886.38
"Moravske Toplice";648.59;668.93;710.34;767.96;797.83;810.54;818.79;822.11;815.46
"Mozirje";696.10;714.06;766.04;828.84;837.32;862.30;878.32;882.07;883.31
"Murska Sobota";635.40;663.65;706.57;762.37;834.05;894.32;902.34;905.37;912.37
"Muta";636.87;675.59;741.13;788.00;773.22;826.71;861.27;862.36;894.18
"Naklo";721.09;761.25;843.96;893.53;874.83;911.21;957.41;957.83;995.43
"Nazarje";580.68;613.30;653.07;693.99;712.26;816.77;841.88;854.37;888.54
"Nova Gorica";816.22;855.31;924.20;971.55;994.66;1027.89;1032.97;1022.04;1016.28
"Novo mesto";808.97;844.75;910.33;991.95;1021.45;1065.76;1084.32;1103.61;1116.34
"Odranci";758.71;686.24;707.41;784.85;771.93;772.24;754.82;753.92;782.35
"Ormož";606.92;633.93;655.68;712.53;759.65;791.79;828.79;850.49;853.55
